lon,lat,records,first_date,last_date,reported_city,reported_county,coordinate_city,coordinate_county,coordinate_town,tools,source_site_2020,reported_city_county_distance_m,coordinate_county_boundary_distance_m,review_status
115.746,27.113,57,2021-01-06,2025-10-13,吉安市,永丰县,抚州市,乐安县,罗陂乡,烟炉,,103.2,103.2,near_boundary_review
115.418,27.568,49,2021-02-09,2025-10-13,抚州市,乐安县,吉安市,峡江县,马埠镇,烟炉,,17324.2,3593.8,distant_location_conflict
115.872,27.859,10,2023-07-15,2025-10-13,抚州市,崇仁县,宜春市,丰城市,洛市镇,烟炉,,41.3,41.3,near_boundary_review
115.74583,27.11278,9,2020-01-15,2020-12-23,吉安,永丰,抚州市,乐安县,罗陂乡,碘化银地面发生器,陶唐高龙山360825010,95.1,95.1,near_boundary_review
117.276,28.582,7,2024-07-22,2025-08-06,鹰潭市,月湖区,上饶市,弋阳县,中畈乡,烟炉,,35022.8,10.3,distant_location_conflict
114.97,27.48,4,2020-03-06,2020-06-24,南昌,安义县 | 安义,吉安市,吉水县,阜田镇,碘化银地面发生器,筲岭水库360123011 | 湾里区筲岭水库360123011,134041.0,2580.5,suspected_coordinate_issue
113.96,27.01,2,2022-10-07,2022-11-05,萍乡市,莲花县,吉安市,永新县,文竹镇,火箭弹,,363.9,363.9,near_boundary_review
117.26,28.61,2,2021-12-14,2022-01-05,上饶市,弋阳县,鹰潭市,贵溪市,三县岭林场,烟炉,,8.8,8.8,near_boundary_review
115.006,29.078,1,2022-10-08,2022-10-08,南昌市,新建区,九江市,武宁县,罗溪乡,火箭弹,,74237.7,6148.4,distant_location_conflict
115.637,29.449,1,2022-08-29,2022-08-29,南昌市,新建区,九江市,德安县,吴山镇,火箭弹,,48037.8,9190.7,distant_location_conflict
117.07528,28.49028,1,2020-01-07,2020-01-07,上饶,广信区（上饶县）,鹰潭市,余江县,画桥镇,火箭,罗桥街道十里风荷361121017,60718.5,518.4,suspected_coordinate_issue
