lon,lat,reported_city,reported_county,records,first_date,last_date,coordinate_city,coordinate_county,coordinate_town,tools,source_site_2020,distance_reference_county,reported_county_distance_m,coordinate_county_boundary_distance_m,review_status
116.963,28.098,鹰潭市,月湖区,45,2021-01-25,2022-10-09,鹰潭市,贵溪市,龙虎山镇,烟炉,,月湖区,8289.2,2464.9,distant_location_conflict
117.068,28.449,鹰潭市,月湖区,16,2023-01-22,2025-09-12,鹰潭市,贵溪市,塔桥园艺场,火箭弹,,月湖区,16081.5,3060.6,distant_location_conflict
116.959,28.098,鹰潭市,月湖区,12,2022-10-27,2025-07-18,鹰潭市,贵溪市,龙虎山镇,烟炉,,月湖区,8414.8,2536.8,distant_location_conflict
117.033,27.987,鹰潭市,月湖区,8,2024-07-28,2025-01-31,鹰潭市,贵溪市,上清镇,烟炉,,月湖区,20676.2,736.5,distant_location_conflict
117.08,28.449,鹰潭市,月湖区,8,2022-01-05,2022-08-04,鹰潭市,贵溪市,塔桥园艺场,火箭弹,,月湖区,16065.6,3010.8,distant_location_conflict
118.026,28.132,上饶市,信州区,6,2023-07-15,2023-07-23,上饶市,上饶县,五府山镇,火箭弹,,信州区,27791.6,5583.4,distant_location_conflict
115.961,28.241,宜春市,上高县,5,2022-09-14,2022-11-16,宜春市,丰城市,白土镇,火箭弹,,上高县,78524.3,4183.1,distant_location_conflict
117.16,27.992,鹰潭市,月湖区,5,2024-08-04,2025-07-08,鹰潭市,贵溪市,耳口乡,烟炉,,月湖区,24403.3,9356.6,distant_location_conflict
116.942,28.069,鹰潭市,月湖区,3,2022-08-10,2024-08-06,鹰潭市,贵溪市,龙虎山镇,火箭弹,,月湖区,12013.5,205.9,distant_location_conflict
117.533,29.292,上饶市,德兴市,3,2022-07-17,2022-10-09,上饶市,婺源县,赋春镇,火箭弹,,德兴市,25400.3,7654.3,distant_location_conflict
114.286,29.191,九江市,武宁县,2,2022-08-18,2022-10-27,九江市,修水县,溪口镇,火箭弹,,武宁县,18240.6,6412.3,distant_location_conflict
115.69278,26.80639,赣州,兴国,2,2020-11-22,2020-11-30,赣州市,宁都县,大沽乡,碘化银地面发生器,方山岭360732013,兴国,14512.4,268.8,distant_location_conflict
114.18306,26.4,吉安,永新,1,2020-09-09,2020-09-09,吉安市,井冈山市,长坪乡,火箭,临时360830010,永新,36007.0,1574.4,distant_location_conflict
114.67472,26.6175,吉安,遂川,1,2020-07-09,2020-07-09,吉安市,万安县,韶口乡,碘化银地面发生器,佛祖仙岭360827009,遂川,10646.3,4526.9,distant_location_conflict
115.25583,26.83583,吉安,永新,1,2020-12-29,2020-12-29,吉安市,青原区,富田镇,碘化银地面发射器,万年山360830100,永新,77213.8,3540.0,distant_location_conflict
116.359,28.319,南昌市,安义县,1,2021-02-03,2021-02-03,南昌市,进贤县,下埠集乡,火箭弹,,安义县,81980.4,7931.3,distant_location_conflict
