cell_id,cell_y,cell_x
0_14,0,14
0_15,0,15
0_16,0,16
0_21,0,21
0_40,0,40
0_41,0,41
0_42,0,42
1_13,1,13
1_14,1,14
1_15,1,15
1_16,1,16
1_17,1,17
1_18,1,18
1_19,1,19
1_20,1,20
1_21,1,21
1_24,1,24
1_40,1,40
1_41,1,41
1_42,1,42
1_43,1,43
1_44,1,44
2_12,2,12
2_13,2,13
2_14,2,14
2_15,2,15
2_16,2,16
2_17,2,17
2_18,2,18
2_19,2,19
2_20,2,20
2_21,2,21
2_22,2,22
2_23,2,23
2_24,2,24
2_25,2,25
2_38,2,38
2_39,2,39
2_40,2,40
2_41,2,41
2_42,2,42
2_43,2,43
3_10,3,10
3_11,3,11
3_12,3,12
3_13,3,13
3_14,3,14
3_15,3,15
3_16,3,16
3_17,3,17
3_18,3,18
3_19,3,19
3_20,3,20
3_21,3,21
3_22,3,22
3_23,3,23
3_24,3,24
3_25,3,25
3_26,3,26
3_27,3,27
3_29,3,29
3_38,3,38
3_39,3,39
3_40,3,40
3_41,3,41
3_42,3,42
3_43,3,43
4_10,4,10
4_11,4,11
4_12,4,12
4_13,4,13
4_14,4,14
4_15,4,15
4_16,4,16
4_17,4,17
4_18,4,18
4_19,4,19
4_20,4,20
4_21,4,21
4_22,4,22
4_23,4,23
4_24,4,24
4_25,4,25
4_26,4,26
4_27,4,27
4_28,4,28
4_29,4,29
4_30,4,30
4_31,4,31
4_37,4,37
4_38,4,38
4_39,4,39
4_40,4,40
4_41,4,41
4_42,4,42
4_43,4,43
5_12,5,12
5_13,5,13
5_14,5,14
5_15,5,15
5_16,5,16
5_17,5,17
5_18,5,18
5_19,5,19
5_20,5,20
5_21,5,21
5_22,5,22
5_23,5,23
5_24,5,24
5_25,5,25
5_26,5,26
5_27,5,27
5_28,5,28
5_29,5,29
5_30,5,30
5_31,5,31
5_32,5,32
5_33,5,33
5_34,5,34
5_36,5,36
5_37,5,37
5_38,5,38
5_39,5,39
5_40,5,40
5_41,5,41
5_42,5,42
6_13,6,13
6_14,6,14
6_15,6,15
6_16,6,16
6_17,6,17
6_18,6,18
6_19,6,19
6_20,6,20
6_21,6,21
6_22,6,22
6_23,6,23
6_24,6,24
6_25,6,25
6_26,6,26
6_27,6,27
6_28,6,28
6_29,6,29
6_30,6,30
6_31,6,31
6_32,6,32
6_33,6,33
6_34,6,34
6_35,6,35
6_36,6,36
6_37,6,37
6_38,6,38
6_39,6,39
6_40,6,40
6_41,6,41
6_42,6,42
7_13,7,13
7_14,7,14
7_15,7,15
7_16,7,16
7_17,7,17
7_18,7,18
7_19,7,19
7_20,7,20
7_21,7,21
7_22,7,22
7_23,7,23
7_24,7,24
7_25,7,25
7_26,7,26
7_27,7,27
7_28,7,28
7_29,7,29
7_30,7,30
7_31,7,31
7_32,7,32
7_33,7,33
7_34,7,34
7_35,7,35
7_36,7,36
7_37,7,37
7_38,7,38
7_39,7,39
7_40,7,40
7_41,7,41
7_42,7,42
7_43,7,43
7_44,7,44
8_14,8,14
8_15,8,15
8_16,8,16
8_17,8,17
8_18,8,18
8_19,8,19
8_20,8,20
8_21,8,21
8_22,8,22
8_23,8,23
8_24,8,24
8_25,8,25
8_26,8,26
8_27,8,27
8_28,8,28
8_29,8,29
8_30,8,30
8_31,8,31
8_32,8,32
8_33,8,33
8_34,8,34
8_35,8,35
8_36,8,36
8_37,8,37
8_38,8,38
8_39,8,39
8_40,8,40
8_41,8,41
8_42,8,42
8_43,8,43
8_44,8,44
8_45,8,45
9_14,9,14
9_15,9,15
9_16,9,16
9_17,9,17
9_18,9,18
9_19,9,19
9_20,9,20
9_21,9,21
9_22,9,22
9_23,9,23
9_24,9,24
9_25,9,25
9_26,9,26
9_27,9,27
9_28,9,28
9_29,9,29
9_30,9,30
9_31,9,31
9_32,9,32
9_33,9,33
9_34,9,34
9_35,9,35
9_36,9,36
9_37,9,37
9_38,9,38
9_39,9,39
9_40,9,40
9_41,9,41
9_42,9,42
9_43,9,43
9_44,9,44
9_45,9,45
10_15,10,15
10_16,10,16
10_17,10,17
10_18,10,18
10_19,10,19
10_20,10,20
10_21,10,21
10_22,10,22
10_23,10,23
10_24,10,24
10_25,10,25
10_26,10,26
10_27,10,27
10_28,10,28
10_29,10,29
10_30,10,30
10_31,10,31
10_32,10,32
10_33,10,33
10_34,10,34
10_35,10,35
10_36,10,36
10_37,10,37
10_38,10,38
10_39,10,39
10_40,10,40
10_41,10,41
10_42,10,42
10_43,10,43
10_44,10,44
10_45,10,45
11_16,11,16
11_17,11,17
11_18,11,18
11_19,11,19
11_20,11,20
11_21,11,21
11_22,11,22
11_23,11,23
11_24,11,24
11_25,11,25
11_26,11,26
11_27,11,27
11_28,11,28
11_29,11,29
11_30,11,30
11_31,11,31
11_32,11,32
11_33,11,33
11_34,11,34
11_35,11,35
11_36,11,36
11_37,11,37
11_38,11,38
11_39,11,39
11_40,11,40
11_41,11,41
11_42,11,42
11_43,11,43
11_44,11,44
11_45,11,45
12_17,12,17
12_18,12,18
12_19,12,19
12_20,12,20
12_21,12,21
12_22,12,22
12_23,12,23
12_24,12,24
12_25,12,25
12_26,12,26
12_27,12,27
12_28,12,28
12_29,12,29
12_30,12,30
12_31,12,31
12_32,12,32
12_33,12,33
12_34,12,34
12_35,12,35
12_36,12,36
12_37,12,37
12_38,12,38
12_39,12,39
12_40,12,40
12_41,12,41
12_42,12,42
12_43,12,43
12_44,12,44
12_45,12,45
13_18,13,18
13_19,13,19
13_20,13,20
13_21,13,21
13_22,13,22
13_23,13,23
13_24,13,24
13_25,13,25
13_26,13,26
13_27,13,27
13_28,13,28
13_29,13,29
13_30,13,30
13_31,13,31
13_32,13,32
13_33,13,33
13_34,13,34
13_35,13,35
13_36,13,36
13_37,13,37
